Hour,Date,Room,Occupancy,ID
9,2015-11-09,B004,0.25,92015-11-09B004
10,2015-11-09,B004,0.25,102015-11-09B004
11,2015-11-09,B004,0.25,112015-11-09B004
12,2015-11-09,B004,0.25,122015-11-09B004
13,2015-11-09,B004,0.25,132015-11-09B004
14,2015-11-09,B004,0.25,142015-11-09B004
15,2015-11-09,B004,0.5,152015-11-09B004
16,2015-11-09,B004,0.25,162015-11-09B004
9,2015-11-10,B004,0.25,92015-11-10B004
10,2015-11-10,B004,0.25,102015-11-10B004
11,2015-11-10,B004,0.25,112015-11-10B004
12,2015-11-10,B004,0.25,122015-11-10B004
13,2015-11-10,B004,0.25,132015-11-10B004
14,2015-11-10,B004,0.5,142015-11-10B004
15,2015-11-10,B004,0.25,152015-11-10B004
16,2015-11-10,B004,0.0,162015-11-10B004
9,2015-11-11,B004,0.0,92015-11-11B004
10,2015-11-11,B004,0.0,102015-11-11B004
11,2015-11-11,B004,0.25,112015-11-11B004
12,2015-11-11,B004,0.25,122015-11-11B004
13,2015-11-11,B004,0.0,132015-11-11B004
14,2015-11-11,B004,0.0,142015-11-11B004
15,2015-11-11,B004,0.0,152015-11-11B004
16,2015-11-11,B004,0.0,162015-11-11B004
9,2015-11-12,B004,0.5,92015-11-12B004
10,2015-11-12,B004,0.5,102015-11-12B004
11,2015-11-12,B004,0.25,112015-11-12B004
12,2015-11-12,B004,0.25,122015-11-12B004
13,2015-11-12,B004,0.5,132015-11-12B004
14,2015-11-12,B004,0.5,142015-11-12B004
15,2015-11-12,B004,0.25,152015-11-12B004
16,2015-11-12,B004,0.0,162015-11-12B004
9,2015-11-13,B004,0.0,92015-11-13B004
10,2015-11-13,B004,0.0,102015-11-13B004
11,2015-11-13,B004,0.0,112015-11-13B004
12,2015-11-13,B004,0.0,122015-11-13B004
13,2015-11-13,B004,0.0,132015-11-13B004
14,2015-11-13,B004,0.5,142015-11-13B004
15,2015-11-13,B004,0.5,152015-11-13B004
16,2015-11-13,B004,0.0,162015-11-13B004
