Hour,Date,Room,Room_Capacity,Module,Registered_Students,ID
11,2015-11-13,B003,90,COMP47290,0.0,112015-11-13B003
12,2015-11-13,B003,90,COMP47290,0.0,122015-11-13B003
13,2015-11-13,B003,90,Vacant,Vacant,132015-11-13B003
14,2015-11-13,B003,90,COMP30080,65.0,142015-11-13B003
15,2015-11-13,B003,90,COMP30080,65.0,152015-11-13B003
16,2015-11-13,B003,90,Vacant,Vacant,162015-11-13B003
17,2015-11-13,B003,90,Vacant,Vacant,172015-11-13B003
9,2015-11-02,B004,220,COMP30010,79,92015-11-02B004
10,2015-11-02,B004,220,IS40640,49,102015-11-02B004
11,2015-11-02,B004,220,IS40640,49,112015-11-02B004
12,2015-11-02,B004,220,COMP20020,98,122015-11-02B004
13,2015-11-02,B004,220,Booked by School of CS (no other data available),,132015-11-02B004
14,2015-11-02,B004,220,SCI30060,66,142015-11-02B004
15,2015-11-02,B004,220,COMP41110,19,152015-11-02B004
16,2015-11-02,B004,220,Vacant,Vacant,162015-11-02B004
17,2015-11-02,B004,220,Vacant,Vacant,172015-11-02B004
9,2015-11-03,B004,220,COMP41450 & COMP30120,143.0,92015-11-03B004
10,2015-11-03,B004,220,COMP10130,112.0,102015-11-03B004
11,2015-11-03,B004,220,COMP20070,107.0,112015-11-03B004
12,2015-11-03,B004,220,COMP30080,139.0,122015-11-03B004
13,2015-11-03,B004,220,COMP20110,103.0,132015-11-03B004
14,2015-11-03,B004,220,STAT40150,0.0,142015-11-03B004
15,2015-11-03,B004,220,COMP20010,108.0,152015-11-03B004
16,2015-11-03,B004,220,Vacant,Vacant,162015-11-03B004
17,2015-11-03,B004,220,Vacant,Vacant,172015-11-03B004
9,2015-11-04,B004,220,COMP30010,79.0,92015-11-04B004
10,2015-11-04,B004,220,Vacant,Vacant,102015-11-04B004
11,2015-11-04,B004,220,COMP20020,98.0,112015-11-04B004
12,2015-11-04,B004,220,COMP20130,74.0,122015-11-04B004
13,2015-11-04,B004,220,Vacant,Vacant,132015-11-04B004
14,2015-11-04,B004,220,Vacant,Vacant,142015-11-04B004
15,2015-11-04,B004,220,COMP30070,84.0,152015-11-04B004
16,2015-11-04,B004,220,Vacant,Vacant,162015-11-04B004
17,2015-11-04,B004,220,Vacant,Vacant,172015-11-04B004
9,2015-11-05,B004,220,COMP41450 & COMP30120,143.0,92015-11-05B004
10,2015-11-05,B004,220,MATH10130,56.0,102015-11-05B004
11,2015-11-05,B004,220,COMP30080,139.0,112015-11-05B004
12,2015-11-05,B004,220,COMP20070,107.0,122015-11-05B004
13,2015-11-05,B004,220,COMP10110,113.0,132015-11-05B004
14,2015-11-05,B004,220,ENVB30110,83.0,142015-11-05B004
15,2015-11-05,B004,220,Vacant,Vacant,152015-11-05B004
16,2015-11-05,B004,220,COMP20010,108.0,162015-11-05B004
17,2015-11-05,B004,220,Vacant,Vacant,172015-11-05B004
9,2015-11-06,B004,220,Vacant,Vacant,92015-11-06B004
