Room_Capacity,Module,Registered_Students,Hour,Date,Room,Occupancy,Avg_Count_60min,Avg_Count_30min,Avg_Adj_Count_60min,Avg_Adj_Count_30min
90,COMP30250,22.0,16,2015-11-04,B002,0.25,17.0,20.0,0.1888888888888889,0.2222222222222222
90,Vacant,-1.0,9,2015-11-05,B002,0.0,6.833333333333333,2.1666666666666665,0.07592592592592591,0.024074074074074078
90,COMP30110,45.0,10,2015-11-05,B002,0.5,33.63636363636363,33.166666666666664,0.3737373737373737,0.3685185185185185
90,COMP40370,27.0,11,2015-11-05,B002,0.25,32.5,31.666666666666668,0.3611111111111111,0.35185185185185186
90,COMP30260,18.0,12,2015-11-05,B002,0.25,20.75,20.8,0.2305555555555556,0.2311111111111111
90,COMP47290,0.0,13,2015-11-05,B002,0.25,13.666666666666666,10.0,0.15185185185185182,0.11111111111111112
90,COMP30240,42.0,14,2015-11-05,B002,0.25,31.90909090909091,29.5,0.3545454545454545,0.3277777777777777
90,COMP30520,60.0,15,2015-11-05,B002,0.5,49.333333333333336,51.0,0.5481481481481482,0.5666666666666667
90,COMP30520,60.0,16,2015-11-05,B002,0.0,33.583333333333336,30.6,0.37314814814814806,0.33999999999999997
90,COMP30220,38.0,9,2015-11-06,B002,0.0,2.4166666666666665,2.6,0.02685185185185185,0.02888888888888889
90,Vacant,-1.0,10,2015-11-06,B002,0.0,5.25,3.5,0.05833333333333334,0.03888888888888889
90,COMP30190,29.0,11,2015-11-06,B002,0.25,17.5,17.0,0.19444444444444445,0.18888888888888888
90,COMP30190,29.0,12,2015-11-06,B002,0.25,14.083333333333334,14.333333333333334,0.15648148148148153,0.15925925925925924
90,COMP30170,51.0,13,2015-11-06,B002,0.25,10.9,9.8,0.1211111111111111,0.10888888888888888
90,COMP30240,42.0,14,2015-11-06,B002,0.25,29.833333333333332,35.166666666666664,0.33148148148148143,0.39074074074074067
90,Vacant,-1.0,15,2015-11-06,B002,0.5,34.25,34.8,0.38055555555555554,0.38666666666666666
90,Vacant,-1.0,16,2015-11-06,B002,0.5,20.75,20.333333333333332,0.2305555555555556,0.2259259259259259
90,COMP30190,29.0,9,2015-11-09,B002,0.25,14.727272727272727,14.833333333333334,0.16363636363636364,0.1648148148148148
90,COMP40660,53.0,10,2015-11-09,B002,0.25,16.25,17.5,0.18055555555555555,0.19444444444444445
90,Vacant,-1.0,11,2015-11-09,B002,0.0,9.363636363636363,7.6,0.10404040404040403,0.08444444444444446
90,COMP30250,22.0,12,2015-11-09,B002,0.25,17.583333333333332,16.666666666666668,0.19537037037037033,0.1851851851851852
90,COMP41690,60.0,13,2015-11-09,B002,0.25,32.36363636363637,35.833333333333336,0.3595959595959596,0.3981481481481481
90,COMP30260,18.0,14,2015-11-09,B002,0.25,13.0,11.4,0.14444444444444446,0.12666666666666665
90,Vacant,-1.0,15,2015-11-09,B002,0.25,15.166666666666666,14.6,0.1685185185185185,0.1622222222222222
90,COMP40660,53.0,16,2015-11-09,B002,0.25,64.25,72.5,0.7138888888888889,0.8055555555555555
90,Vacant,-1.0,9,2015-11-10,B002,0.0,2.272727272727273,1.0,0.025252525252525252,0.011111111111111112
90,COMP30110,45.0,10,2015-11-10,B002,0.0,24.333333333333332,24.4,0.2703703703703703,0.27111111111111114
90,COMP30260,18.0,11,2015-11-10,B002,0.25,21.833333333333332,19.333333333333332,0.24259259259259258,0.2148148148148148
90,COMP40370,27.0,12,2015-11-10,B002,0.25,34.0,31.833333333333332,0.3777777777777778,0.35370370370370363
90,Vacant,-1.0,13,2015-11-10,B002,0.25,11.454545454545455,9.0,0.12727272727272726,0.09999999999999999
90,COMP30240,42.0,14,2015-11-10,B002,0.5,43.72727272727273,43.25,0.48585858585858593,0.4805555555555556
90,COMP30240,42.0,15,2015-11-10,B002,0.5,40.25,42.6,0.44722222222222213,0.47333333333333333
