Time,Date,Room,Room_Capacity,Module,Registered_Students
12,2015-11-06,CSB0.04,220,Vacant,Vacant
13,2015-11-06,CSB0.04,220,COMP20110,103.0
14,2015-11-06,CSB0.04,220,COMP10110,113.0
15,2015-11-06,CSB0.04,220,COMP30220,38.0
16,2015-11-06,CSB0.04,220,Vacant,Vacant
17,2015-11-06,CSB0.04,220,Vacant,Vacant
9,2015-11-09,CSB0.04,220,COMP30010,79
10,2015-11-09,CSB0.04,220,IS40640,49
11,2015-11-09,CSB0.04,220,IS40640,49
12,2015-11-09,CSB0.04,220,COMP20020,98
13,2015-11-09,CSB0.04,220,Booked by School of CS (no other data available),
14,2015-11-09,CSB0.04,220,SCI30060,66
15,2015-11-09,CSB0.04,220,COMP41110,19
16,2015-11-09,CSB0.04,220,Vacant,Vacant
17,2015-11-09,CSB0.04,220,Vacant,Vacant
9,2015-11-10,CSB0.04,220,COMP41450 & COMP30120,143.0
10,2015-11-10,CSB0.04,220,COMP10130,112.0
11,2015-11-10,CSB0.04,220,COMP20070,107.0
12,2015-11-10,CSB0.04,220,COMP30080,139.0
13,2015-11-10,CSB0.04,220,COMP20110,103.0
14,2015-11-10,CSB0.04,220,STAT40150,0.0
15,2015-11-10,CSB0.04,220,COMP20010,108.0
16,2015-11-10,CSB0.04,220,Vacant,Vacant
17,2015-11-10,CSB0.04,220,Vacant,Vacant
9,2015-11-11,CSB0.04,220,COMP30010,79.0
10,2015-11-11,CSB0.04,220,Vacant,Vacant
11,2015-11-11,CSB0.04,220,COMP20020,98.0
12,2015-11-11,CSB0.04,220,COMP20130,74.0
13,2015-11-11,CSB0.04,220,Vacant,Vacant
14,2015-11-11,CSB0.04,220,Vacant,Vacant
15,2015-11-11,CSB0.04,220,COMP30070,84.0
16,2015-11-11,CSB0.04,220,Vacant,Vacant
17,2015-11-11,CSB0.04,220,Vacant,Vacant
9,2015-11-12,CSB0.04,220,COMP41450 & COMP30120,143.0
10,2015-11-12,CSB0.04,220,MATH10130,56.0
11,2015-11-12,CSB0.04,220,COMP30080,139.0
12,2015-11-12,CSB0.04,220,COMP20070,107.0
13,2015-11-12,CSB0.04,220,COMP10110,113.0
14,2015-11-12,CSB0.04,220,ENVB30110,83.0
15,2015-11-12,CSB0.04,220,Vacant,Vacant
16,2015-11-12,CSB0.04,220,COMP20010,108.0
17,2015-11-12,CSB0.04,220,Vacant,Vacant
9,2015-11-13,CSB0.04,220,Vacant,Vacant
10,2015-11-13,CSB0.04,220,MATH10200,96.0
11,2015-11-13,CSB0.04,220,COMP30070,84.0
12,2015-11-13,CSB0.04,220,Vacant,Vacant
13,2015-11-13,CSB0.04,220,COMP20110,103.0
14,2015-11-13,CSB0.04,220,COMP10110,113.0
15,2015-11-13,CSB0.04,220,COMP30220,38.0
16,2015-11-13,CSB0.04,220,Vacant,Vacant
17,2015-11-13,CSB0.04,220,Vacant,Vacant
